  -7.743	  35.253	   4.505
  28.656	  51.648	 -35.521
  22.536	  12.963	  22.131
  23.282	  22.061	 -13.757
  -0.743	  40.608	 -26.830
  -5.046	  10.835	 -19.606
  26.036	  40.287	  11.694
  -1.381	   4.293	   9.089
  10.369	  52.121	  -4.479
 -24.586	  17.067	   3.390
  35.486	  46.385	 -13.348
   1.189	  23.710	  22.332
   9.779	  20.688	   2.762
 -12.577	  28.541	 -14.317
  26.571	  32.010	 -29.468
   6.724	  34.117	  -8.735
  11.284	  53.246	 -25.555
  -7.840	  18.649	   1.283
  27.711	  26.361	   1.812
   7.180	   6.999	  -6.083
   8.445	  20.882	 -20.440
  11.870	  33.130	  15.537
  22.560	  40.874	  -6.981
  23.636	  44.418	 -22.870
  11.908	  34.516	 -25.763
  -6.087	  24.377	 -25.329
