 -15.718	  34.614	  -2.620
  18.630	  23.760	  43.263
  22.038	  30.066	   5.264
 -18.192	  32.209	  34.403
   7.234	  45.167	  25.959
  -3.653	  13.342	  19.224
  -5.274	  12.615	  46.426
  17.526	  15.230	  23.722
 -14.491	  44.684	  17.600
  -1.654	  33.350	  47.930
   3.339	  24.574	  -0.351
  22.702	  34.603	  25.620
   2.117	  22.670	  33.841
  -7.502	  29.185	  12.987
   4.799	  41.055	   9.640
   9.736	  29.814	  18.550
 -24.762	  28.052	   7.243
  10.345	  37.133	  37.742
  -6.939	  36.727	  27.063
  -5.210	  42.491	  -5.136
   7.509	  14.466	  42.813
  19.397	  48.232	  30.147
 -10.418	  20.317	  37.091
  -3.629	  30.153	  -9.537
  22.846	  18.478	  12.724
 -20.958	  33.980	  18.802
