  13.359	   9.820	  39.193
  14.254	 -19.662	  -6.263
   0.264	  14.522	   4.878
  36.461	 -13.557	  19.435
  -3.837	 -13.396	  24.879
  28.414	  11.948	   8.181
  39.002	  16.017	  33.384
  23.887	 -13.562	  40.991
  -3.492	  -6.243	  47.960
  15.329	 -11.609	  16.703
  -0.763	   7.142	  25.527
   0.173	  -4.741	   5.089
  34.423	   3.852	  46.997
  29.449	  -0.608	  30.190
  19.454	  20.333	  20.704
  18.383	  -3.591	  -0.884
   7.310	 -16.815	  40.142
   0.636	 -21.000	   9.206
  -9.780	   3.340	  13.678
  10.021	   8.008	  15.759
   5.279	  -2.745	  37.404
  26.152	  14.412	  42.629
  17.645	 -17.853	  28.294
  29.269	  12.194	  25.546
  35.382	   1.979	  19.353
   3.968	  18.374	  19.340
