  15.469	  22.373	  24.610
  58.333	  37.765	  46.786
  14.958	  43.259	  63.742
  30.056	  51.141	  34.875
  29.333	  14.323	  52.013
   4.448	  42.936	  38.588
  47.445	  31.353	  26.759
  20.731	  42.189	  16.013
  33.758	  39.841	  52.762
  10.124	  23.397	  50.047
  46.491	  20.545	  43.842
  34.322	   5.301	  34.923
  16.628	  53.112	  47.604
   1.180	  31.973	  25.389
  31.513	  31.390	  32.072
   8.081	  15.352	  36.500
  45.310	  43.171	  40.643
   1.538	  35.003	  52.943
  33.887	  42.827	  23.306
  21.922	  26.717	  57.736
  23.370	  40.643	  42.211
  23.038	  13.752	  37.660
  11.168	  46.045	  26.416
   6.973	  28.697	  37.595
  29.808	  31.429	  18.964
  19.746	  54.846	  28.459
