target,QAS,QSurf,QRunSurf,ROC,Baseline
1b5j,0,0,Min,0.962886960600375,Self
1b5j,0,0,Med,0.989563789868668,Self
1b5j,0,0,Max,0.99015009380863,Self
1b5j,0,0,Arb,0.990501876172608,Self
1b5j,0,0.05,Min,0.997361632270169,Self
1b5j,0,0.05,Med,0.998534240150094,Self
1b5j,0,0.05,Max,0.997713414634146,Self
1b5j,0,0.05,Arb,0.996951219512195,Self
1b5j,0,0.1,Min,0.998886022514071,Self
1b5j,0,0.1,Med,0.998416979362101,Self
1b5j,0,0.1,Max,0.997889305816135,Self
1b5j,0,0.1,Arb,0.998475609756098,Self
1b5j,0,0.15,Min,0.999472326454034,Self
1b5j,0,0.15,Med,0.999296435272045,Self
1b5j,0,0.15,Max,0.998710131332083,Self
1b5j,0,0.15,Arb,0.99953095684803,Self
1b5j,0,0.2,Min,0.999589587242026,Self
1b5j,0,0.2,Med,0.999589587242026,Self
1b5j,0,0.2,Max,0.99906191369606,Self
1b5j,0,0.2,Arb,0.999824108818011,Self
1b5j,0,0.25,Min,0.999589587242026,Self
1b5j,0,0.25,Med,0.999589587242026,Self
1b5j,0,0.25,Max,0.999413696060037,Self
1b5j,0,0.25,Arb,0.999765478424015,Self
1b5j,0,0.3,Min,0.999648217636023,Self
1b5j,0,0.3,Med,0.999589587242026,Self
1b5j,0,0.3,Max,0.999413696060037,Self
1b5j,0,0.3,Arb,0.999824108818011,Self
1b5j,0,0.35,Min,0.999706848030019,Self
1b5j,0,0.35,Med,0.999648217636023,Self
1b5j,0,0.35,Max,0.999355065666041,Self
1b5j,0,0.35,Arb,0.999765478424015,Self
1b5j,0,0.4,Min,0.999648217636023,Self
1b5j,0,0.4,Med,0.999589587242026,Self
1b5j,0,0.4,Max,0.999413696060037,Self
1b5j,0,0.4,Arb,0.999648217636023,Self
1b5j,0,0.45,Min,0.999648217636023,Self
1b5j,0,0.45,Med,0.999648217636023,Self
1b5j,0,0.45,Max,0.999413696060037,Self
1b5j,0,0.45,Arb,0.999648217636023,Self
1b5j,0,0.5,Min,0.999648217636023,Self
1b5j,0,0.5,Med,0.999706848030019,Self
1b5j,0,0.5,Max,0.999355065666041,Self
1b5j,0,0.5,Arb,0.99953095684803,Self
1b5j,0,0.55,Min,0.999648217636023,Self
1b5j,0,0.55,Med,0.999706848030019,Self
1b5j,0,0.55,Max,0.999355065666041,Self
1b5j,0,0.55,Arb,0.999589587242026,Self
1b5j,0,0.6,Min,0.999824108818011,Self
1b5j,0,0.6,Med,0.999706848030019,Self
1b5j,0,0.6,Max,0.999120544090056,Self
1b5j,0,0.6,Arb,0.999648217636023,Self
1b5j,0,0.65,Min,0.999706848030019,Self
1b5j,0,0.65,Med,0.999296435272045,Self
1b5j,0,0.65,Max,0.999120544090056,Self
1b5j,0,0.65,Arb,0.99953095684803,Self
1b5j,0,0.7,Min,0.999237804878049,Self
1b5j,0,0.7,Med,0.999237804878049,Self
1b5j,0,0.7,Max,0.999296435272045,Self
1b5j,0,0.7,Arb,0.999413696060037,Self
1b5j,0,0.75,Min,0.999179174484052,Self
1b5j,0,0.75,Med,0.999355065666041,Self
1b5j,0,0.75,Max,0.999179174484052,Self
1b5j,0,0.75,Arb,0.999296435272045,Self
1b5j,0,0.8,Min,0.997361632270169,Self
1b5j,0,0.8,Med,0.989387898686679,Self
1b5j,0,0.8,Max,0.960014071294559,Self
1b5j,0,0.8,Arb,0.987394465290807,Self
1b5j,0,0.85,Min,0.943421669793621,Self
1b5j,0,0.85,Med,0.927532833020638,Self
1b5j,0,0.85,Max,0.890654315196998,Self
1b5j,0,0.85,Arb,0.917155253283302,Self
1b5j,0,0.9,Min,0.727368667917448,Self
1b5j,0,0.9,Med,0.679291744840525,Self
1b5j,0,0.9,Max,0.647689962476548,Self
1b5j,0,0.9,Arb,0.674718574108818,Self
1b5j,0,0.95,Min,0.609580206378987,Self
1b5j,0,0.95,Med,0.595098499061914,Self
1b5j,0,0.95,Max,0.592636022514071,Self
1b5j,0,0.95,Arb,0.576278142589118,Self
1b5j,0,1,Min,0.520813789868668,Self
1b5j,0,1,Med,0.494430112570356,Self
1b5j,0,1,Max,0.502755628517824,Self
1b5j,0,1,Arb,0.502462476547842,Self
1bxo,0,0,Min,0.632645403377111,Self
